"Volcano Number","Volcano Name","Country","Volcanic Region Group","Volcanic Region","Volcano Landform","Primary Volcano Type","Activity Evidence","Last Known Eruption","Latitude","Longitude","Elevation (m)","Dominant Rock Type","Tectonic Setting"
"355842","Tocorpuri, Cerros de","Chile-Bolivia","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-22.439","-67.888000000000005","5808",NA,"Subduction zone / Continental crust (>25 km)"
"355843","Zapaleri, Cerro","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-22.82","-67.180000000000007","5643",NA,"Unknown"
"355844","Poquis","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.02","-67.05","5770",NA,"Unknown"
"355845","Curutu","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.17","-67.069999999999993","5394",NA,"Unknown"
"355846","Losloyo","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.13","-67.37","5343",NA,"Unknown"
"355847","Potor","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.2","-67.67","5318",NA,"Unknown"
"355848","Hecar","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.23","-67.75","5029",NA,"Unknown"
"355849","Verde, Laguna","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.251999999999999","-67.709999999999994","5464",NA,"Subduction zone / Continental crust (>25 km)"
"355850","Rio Negro, Cerro de","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.398","-67.581999999999994","5067",NA,"Unknown"
"355851","Tumisa","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.46","-67.81","5638",NA,"Unknown"
"355852","Lejia","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.555","-67.763999999999996","5774",NA,"Unknown"
"355853","Miscanti","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-23.67","-67.72","5613",NA,"Unknown"
"355854","Laco","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Minor","Lava dome",NA,NA,"-23.818000000000001","-67.5","5314",NA,"Unknown"
"355855","Incaguasi","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Unknown","Unknown",NA,NA,"-24.03","-67.53","5689",NA,"Unknown"
"355856","Capur","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-24.02","-67.849999999999994","5216",NA,"Unknown"
"355857","Aguas Delgadas","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-24.45","-68.400000000000006","0",NA,"Subduction zone / Continental crust (>25 km)"
"355858","Niebla, Cerro de la","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Compound",NA,NA,"-25.25","-68.63","4500",NA,"Unknown"
"355859","Azufre, El","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Unknown","Unknown",NA,NA,"-25.37","-68.88","5480",NA,"Unknown"
"355860","Piedra Parada","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-26.4","-68.75","5920",NA,"Subduction zone / Continental crust (>25 km)"
"355861","San Francisco","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-26.919","-68.263000000000005","6032",NA,"Subduction zone / Continental crust (>25 km)"
"355862","Tres Cruces","Chile","South America Volcanic Regions","Central Andean Volcanic Arc","Composite","Stratovolcano",NA,NA,"-27.08","-68.8","6620",NA,"Subduction zone / Continental crust (>25 km)"
